           mean_size           cum_fract
                 [m]                 [-]
        1.250000e-05    4.6352378282e-03
        1.750000e-05    9.3151048658e-03
        2.250000e-05    1.5466127541e-02
        2.750000e-05    2.3124032928e-02
        3.250000e-05    3.2268645242e-02
        3.750000e-05    4.2843680959e-02
        4.250000e-05    5.4766979030e-02
        4.750000e-05    6.7938207920e-02
        5.250000e-05    8.2245112423e-02
        5.750000e-05    9.7568594696e-02
        6.250000e-05    1.1378678853e-01
        6.750000e-05    1.3077825949e-01
        7.250000e-05    1.4842445565e-01
        7.750000e-05    1.6661152611e-01
        8.250000e-05    1.8523161490e-01
        8.750000e-05    2.0418372646e-01
        9.250000e-05    2.2337424683e-01
        9.750000e-05    2.4271719266e-01
        1.025000e-04    2.6213424926e-01
        1.100000e-04    3.0091492743e-01
        1.200000e-04    3.3923579700e-01
        1.300000e-04    3.7672166182e-01
        1.400000e-04    4.1308919332e-01
        1.500000e-04    4.4813300284e-01
        1.600000e-04    4.8171235691e-01
        1.700000e-04    5.1373913393e-01
        1.800000e-04    5.4416727217e-01
        1.900000e-04    5.7298374978e-01
        2.000000e-04    6.0020101873e-01
        2.100000e-04    6.2585075446e-01
        2.225000e-04    6.6148925984e-01
        2.375000e-04    6.9389960491e-01
        2.525000e-04    7.2330306276e-01
        2.675000e-04    7.4993228997e-01
        2.825000e-04    7.7402018740e-01
        2.975000e-04    7.9579264859e-01
        3.125000e-04    8.1546408428e-01
        3.300000e-04    8.3876859704e-01
        3.500000e-04    8.5912533309e-01
        3.700000e-04    8.7691863242e-01
        3.900000e-04    8.9248637211e-01
        4.100000e-04    9.0612355240e-01
        4.325000e-04    9.2084239648e-01
        4.575000e-04    9.3336931960e-01
        4.825000e-04    9.4405978004e-01
        5.075000e-04    9.5320957396e-01
        5.325000e-04    9.6106476119e-01
        5.600000e-04    9.6906794807e-01
        5.900000e-04    9.7578997131e-01
        6.200000e-04    9.8146420536e-01
        6.525000e-04    9.8700895612e-01
        6.875000e-04    9.9162048648e-01
        7.225000e-04    9.9548548776e-01
        7.600000e-04    9.9917556089e-01
        8.000000e-04    1.0000000000e+00
